               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 128,             0.04583,             0.15246,              0.0188,             0.53037,             0.18244,             0.13916,            0.059348,            0.056289,             0.15632,              0.0452,           0.0053869,           0.0053869,           0.0053869
                 129,            0.045852,             0.15197,            0.018987,             0.51401,             0.19054,             0.14901,            0.063728,            0.056067,             0.15537,            0.045774,           0.0053304,           0.0053304,           0.0053304
                 130,             0.04586,             0.15305,            0.018816,             0.51394,             0.19144,             0.14473,            0.060641,            0.056222,             0.15659,            0.046047,           0.0052739,           0.0052739,           0.0052739
                 131,            0.045839,             0.15252,            0.018893,             0.51723,             0.17973,              0.1347,            0.058072,            0.055729,             0.15445,            0.045954,           0.0052174,           0.0052174,           0.0052174
                 132,            0.045513,             0.15417,            0.018305,             0.49391,             0.18202,             0.13435,            0.056992,            0.055946,             0.15378,            0.045623,            0.005161,            0.005161,            0.005161
                 133,            0.045421,             0.15371,            0.018623,              0.5276,             0.15782,             0.12851,            0.056272,            0.056567,             0.15753,            0.045754,           0.0051047,           0.0051047,           0.0051047
                 134,            0.045801,             0.15256,            0.018776,             0.51774,             0.17419,             0.12483,             0.05493,             0.05625,             0.15348,             0.04702,           0.0050484,           0.0050484,           0.0050484
                 135,            0.045392,               0.152,            0.018657,             0.50128,             0.20386,              0.1363,            0.059389,            0.055297,             0.15489,            0.045231,           0.0049921,           0.0049921,           0.0049921
                 136,            0.044992,             0.15203,            0.018358,             0.50164,             0.19961,             0.12925,            0.056312,            0.056115,             0.15418,            0.046938,            0.004936,            0.004936,            0.004936
                 137,            0.045424,             0.15471,              0.0185,             0.48925,             0.20234,             0.13256,            0.056106,             0.05611,             0.15666,            0.047254,           0.0048799,           0.0048799,           0.0048799
                 138,            0.044974,             0.15393,            0.018285,             0.49876,             0.18703,             0.13453,             0.05702,            0.056056,             0.15816,            0.048003,            0.004824,            0.004824,            0.004824
                 139,            0.045188,             0.15175,            0.018265,             0.49402,             0.18941,             0.12624,            0.054039,            0.056609,             0.15563,             0.04716,           0.0047681,           0.0047681,           0.0047681
                 140,             0.04537,             0.14978,            0.017712,             0.49659,             0.20104,             0.12862,             0.05518,            0.056414,             0.15624,            0.047498,           0.0047124,           0.0047124,           0.0047124
                 141,            0.045105,             0.14918,            0.017957,              0.5035,             0.19925,             0.13847,            0.060453,            0.055422,             0.15398,            0.046097,           0.0046568,           0.0046568,           0.0046568
                 142,            0.044888,             0.15052,            0.017785,             0.53152,              0.1617,             0.14003,            0.059735,            0.055494,             0.15417,            0.045554,           0.0046013,           0.0046013,           0.0046013
                 143,            0.045024,             0.14772,            0.018157,             0.52639,              0.1779,             0.12964,              0.0568,            0.056071,              0.1577,            0.047422,            0.004546,            0.004546,            0.004546
                 144,            0.045015,             0.15092,            0.017253,             0.51041,             0.18965,             0.13667,            0.059282,            0.055642,             0.15587,            0.047051,           0.0044908,           0.0044908,           0.0044908
                 145,            0.044804,             0.14927,            0.017472,             0.49383,             0.18015,             0.13205,             0.05636,            0.056368,             0.15812,            0.049417,           0.0044358,           0.0044358,           0.0044358
                 146,            0.044866,             0.15218,            0.017526,             0.47941,             0.20934,             0.13591,            0.058246,            0.055762,              0.1565,             0.04819,           0.0043809,           0.0043809,           0.0043809
                 147,            0.044739,             0.14899,            0.017602,             0.51406,             0.18424,              0.1396,            0.058874,            0.056151,             0.15469,             0.04762,           0.0043262,           0.0043262,           0.0043262
                 148,            0.044488,             0.14817,            0.017901,             0.49784,             0.18803,             0.13391,            0.057705,            0.056605,             0.15894,            0.047767,           0.0042717,           0.0042717,           0.0042717
                 149,            0.044919,             0.15101,             0.01705,             0.48978,             0.20179,              0.1296,            0.056394,            0.055724,              0.1566,            0.047838,           0.0042174,           0.0042174,           0.0042174
                 150,            0.044699,             0.15023,            0.017229,             0.49395,              0.1809,             0.12802,            0.055298,            0.056053,             0.15737,            0.048721,           0.0041633,           0.0041633,           0.0041633
                 151,            0.043989,             0.15003,            0.017401,             0.49839,             0.19043,             0.12429,            0.054345,            0.056854,             0.16211,            0.048749,           0.0041094,           0.0041094,           0.0041094
                 152,            0.044249,             0.14884,            0.017273,             0.50765,             0.17386,             0.11899,            0.052578,            0.056763,              0.1587,            0.050744,           0.0040558,           0.0040558,           0.0040558
                 153,            0.044659,             0.15022,            0.017132,             0.48096,             0.20681,              0.1277,            0.055271,            0.056567,             0.15938,            0.048131,           0.0040023,           0.0040023,           0.0040023
                 154,            0.044402,             0.15113,            0.016984,             0.48394,             0.19162,             0.12517,            0.054308,            0.056435,             0.15767,            0.048146,           0.0039491,           0.0039491,           0.0039491
                 155,            0.044338,             0.14944,            0.016909,             0.49718,             0.16422,              0.1268,            0.055811,            0.055952,             0.15734,            0.048948,           0.0038961,           0.0038961,           0.0038961
                 156,               0.044,             0.14708,            0.016791,              0.4864,             0.20428,             0.13058,            0.056496,            0.055697,              0.1568,             0.04882,           0.0038434,           0.0038434,           0.0038434
                 157,            0.043796,             0.14892,            0.016767,             0.50165,             0.18297,             0.12422,             0.05379,            0.056431,             0.15916,            0.048576,            0.003791,            0.003791,            0.003791
                 158,            0.043945,             0.14731,            0.016359,             0.48808,             0.20212,             0.12437,            0.054275,            0.056646,             0.16005,             0.04899,           0.0037388,           0.0037388,           0.0037388
                 159,            0.044516,             0.15085,            0.016686,             0.48715,             0.20171,             0.13108,             0.05674,            0.055983,             0.15862,            0.049227,           0.0036869,           0.0036869,           0.0036869
