    50/299     1.84G   0.06016    0.1588    0.0184    0.2374       141       416    0.5511    0.5093     0.477    0.1885   0.05506    0.1246   0.01697
    51/299     1.84G   0.05927    0.1568   0.01754    0.2336       142       416    0.5388    0.5144    0.4642    0.1852   0.05503    0.1256   0.01701
    52/299     1.84G   0.05998      0.16   0.01809    0.2381       150       416    0.5516    0.4958    0.4637    0.1829   0.05497    0.1261   0.01716
    53/299     1.84G   0.05967    0.1585   0.01776    0.2359       231       416     0.533    0.5324     0.474     0.187   0.05483     0.125   0.01685
    54/299     1.84G   0.05957    0.1601   0.01746    0.2371       200       416    0.5135    0.5431    0.4642    0.1833   0.05486    0.1248   0.01669
    55/299     1.84G   0.05905    0.1572   0.01755    0.2338       214       416    0.5217    0.5338    0.4678    0.1876   0.05492    0.1247   0.01697
    56/299     1.84G   0.05917    0.1574   0.01753    0.2341       167       416    0.5286    0.5276    0.4661    0.1847   0.05478    0.1245   0.01684
    57/299     1.84G   0.05887    0.1575   0.01751    0.2339       223       416    0.5162    0.5441    0.4809    0.1933    0.0541    0.1244   0.01677
    58/299     1.84G   0.05857    0.1588   0.01708    0.2344       215       416    0.5186    0.5278    0.4691    0.1853   0.05483    0.1256    0.0172
    59/299     1.84G   0.05909    0.1568   0.01739    0.2333       146       416    0.5456    0.5108    0.4692    0.1888   0.05451    0.1254   0.01746
    60/299     1.84G   0.05865    0.1576   0.01756    0.2338       206       416    0.5478    0.5186    0.4785    0.1894   0.05461     0.125   0.01678
    61/299     1.84G   0.05854    0.1581    0.0172    0.2339       226       416     0.561    0.5175    0.4844    0.1965   0.05424    0.1253   0.01661
    62/299     1.84G   0.05848    0.1564   0.01711     0.232       211       416    0.5283    0.5455     0.477    0.1873   0.05449     0.125   0.01652
    63/299     1.84G   0.05872     0.156   0.01746    0.2322       174       416    0.5356    0.5328    0.4742      0.19   0.05455    0.1244    0.0167
    64/299     1.84G   0.05858    0.1555   0.01741    0.2315       137       416    0.5294    0.5502    0.4796    0.1931   0.05434    0.1254   0.01686
    65/299     1.84G   0.05795    0.1574   0.01734    0.2326       135       416    0.5302    0.5405    0.4718    0.1961    0.0542    0.1257   0.01664
    66/299     1.84G   0.05805    0.1583   0.01692    0.2333       177       416    0.5476    0.5276    0.4759    0.1944   0.05399    0.1254   0.01689
    67/299     1.84G   0.05829     0.157   0.01696    0.2323       144       416    0.5504    0.5325    0.4855    0.1947   0.05406    0.1249   0.01689
